run_id,timestamp,alpha,spikes
20250829T110856Z-9035c35d,2025-08-29T11:08:56.079111+00:00,1.0,57
20250829T110856Z-9035c35d,2025-08-29T11:08:56.126495+00:00,0.7,45
20250829T110856Z-9035c35d,2025-08-29T11:08:56.175370+00:00,0.5,38
