run_id,timestamp,alpha,energy_proxy
20250829T110628Z-dd4b9d2d,2025-08-29T11:06:29.023404+00:00,1.0,57.0
20250829T110628Z-dd4b9d2d,2025-08-29T11:06:29.073323+00:00,0.7,45.0
20250829T110628Z-dd4b9d2d,2025-08-29T11:06:29.123905+00:00,0.5,38.0
