run_id,timestamp,alpha,spikes
20250829T110952Z-54dd848d,2025-08-29T11:09:52.228376+00:00,1.0,57
20250829T110952Z-54dd848d,2025-08-29T11:09:52.275750+00:00,0.7,45
20250829T110952Z-54dd848d,2025-08-29T11:09:52.324224+00:00,0.5,38
