run_id,timestamp,alpha,energy_proxy
20250829T102311Z-62d46db7,2025-08-29T10:23:11.372978+00:00,1.0,57.0
20250829T102311Z-62d46db7,2025-08-29T10:23:11.418777+00:00,0.7,45.0
20250829T102311Z-62d46db7,2025-08-29T10:23:11.466401+00:00,0.5,38.0
