run_id,timestamp,alpha,energy_proxy
20250829T110326Z-b7c31e8c,2025-08-29T11:03:26.096103+00:00,1.0,57.0
20250829T110326Z-b7c31e8c,2025-08-29T11:03:26.146928+00:00,0.7,45.0
20250829T110326Z-b7c31e8c,2025-08-29T11:03:26.201547+00:00,0.5,38.0
