run_id,timestamp,alpha,spikes
20250829T110326Z-b7c31e8c,2025-08-29T11:03:26.096103+00:00,1.0,57
20250829T110326Z-b7c31e8c,2025-08-29T11:03:26.146928+00:00,0.7,45
20250829T110326Z-b7c31e8c,2025-08-29T11:03:26.201547+00:00,0.5,38
