run_id,timestamp,alpha,spikes
20250829T110638Z-690411e7,2025-08-29T11:06:38.094831+00:00,1.0,57
20250829T110638Z-690411e7,2025-08-29T11:06:38.141975+00:00,0.7,45
20250829T110638Z-690411e7,2025-08-29T11:06:38.191015+00:00,0.5,38
