run_id,timestamp,alpha,spikes
20250829T110851Z-aaef5429,2025-08-29T11:08:51.796139+00:00,1.0,57
20250829T110851Z-aaef5429,2025-08-29T11:08:51.842596+00:00,0.7,45
20250829T110851Z-aaef5429,2025-08-29T11:08:51.890151+00:00,0.5,38
